ingredient_id,ingredient_name,category,storage_type,expiry_date
1,LA갈비,축산물,냉장,0
2,가는파,채소류,실온,0
3,가다랑어포,수산가공품,실온,0
4,가다랑이포,수산가공품,실온,0
5,가래떡,떡류,실온,0
6,가리비,수산물,냉장,0
7,가쓰오부시,수산가공품,실온,0
8,가쓰오브시,수산가공품,실온,0
9,가쓰오브시국물,조리식품,실온,0
10,가쓰오쯔유,수산가공품,실온,0
11,가와지,조미료,실온,0
12,가자미,수산물,냉장,0
13,가재새우,수산물,냉장,0
14,가지,채소류,냉장,0
15,가쯔오브시,조미료,실온,0
16,각얼음,조미료,실온,0
17,간,축산물,실온,0
18,간마늘,채소류,냉장,0
19,간생강,축산물,냉장,0
20,간수,축산물,실온,0
21,간장,소스류,실온,0
22,간장조금,소스류,실온,0
23,갈비,축산물,냉장,0
25,갈은깨,조미료,실온,0
26,갈치,수산물,냉장,0
27,갈치액젓,수산물,냉장,0
28,감,과일류,냉장,0
29,감귤,과일류,냉장,0
30,감동란,과일류,냉장,0
31,감동젓,과일류,냉장,0
32,감식초,소스류,실온,0
33,감자,과일류,냉장,0
34,감자전분,가루류,실온,0
35,감자전분가루,가루류,실온,0
36,감자튀김,과일류,냉동,0
37,감태가루,가루류,실온,0
38,갑오징어,수산물,냉장,0
39,갓,조미료,실온,0
40,강력,가루류,실온,0
41,강력분,가루류,실온,0
42,강황,조미료,실온,0
43,강황가루,가루류,실온,0
44,강황쌀,조미료,실온,0
46,거피들깨가루,가루류,실온,0
48,건고추,채소류,냉장,0
49,건다시마,수산가공품,냉장,0
50,건대추,조미료,실온,0
51,건매생이,수산가공품,냉장,0
52,건멸치,수산가공품,냉장,0
53,건미역,수산가공품,냉장,0
54,건블루베리,과일류,냉장,0
55,건새우,수산가공품,냉장,0
56,건새우가루,가루류,실온,0
57,건오미자,다류,실온,0
58,건오징어,수산가공품,냉장,0
59,건자두,과일류,실온,0
61,건취나물,채소류,실온,0
62,건크랜베리,과일류,실온,0
63,건포도,과일류,냉장,0
64,건표고버섯,채소류,냉장,0
65,건홍고추,채소류,냉장,0
66,건홍합,수산가공품,냉장,0
68,검은깨,조미료,실온,0
69,검은껍질홍합,수산물,냉장,0
70,검은콩,조미료,실온,0
71,검은콩두유,유제품,실온,0
72,검은콩튀밥,조미료,실온,0
73,검정깨,조미료,실온,0
74,검정깨묵,묵류,실온,0
75,검정콩,조미료,실온,0
76,게,수산물,냉장,0
77,게맛살,수산물,냉장,0
78,게살,수산물,냉장,0
79,겨자,소스류,실온,0
80,겨자가루,소스류,실온,0
81,겨자잎,소스류,실온,0
82,견과류,조미료,실온,0
83,견과류선호하는,조미료,실온,0
84,계란,계란류,냉장,0
85,계란노른자,계란류,냉장,0
86,계란생략가능,계란류,냉장,0
87,계란후라이,계란류,냉장,0
88,계란흰자,계란류,냉장,0
89,계피,조미료,실온,0
90,계피가루,가루류,실온,0
91,계핏가루,가루류,실온,0
92,고구마,채소류,냉장,0
93,고구마무스,채소류,냉장,0
94,고구마순,채소류,냉장,0
95,고구마잎,채소류,냉장,0
96,고구마줄기,채소류,냉장,0
97,고구마칩,채소류,냉장,0
98,고기산적,축산물,실온,0
99,고들빼기,채소류,실온,0
100,고등어,수산물,냉장,0
101,고사리,채소류,냉장,0
102,고사리나물,채소류,냉장,0
103,고수,허브류,실온,0
104,고수생략가능,허브류,실온,0
105,고수잎,허브류,실온,0
106,고수취향껏,허브류,실온,0
108,고운고춧가루,가루류,실온,0
109,고운소금,조미료,실온,0
110,고추,채소류,냉장,0
111,고추가루,가루류,실온,0
112,고추기름,채소류,냉장,0
113,고추냉이,채소류,냉장,0
114,고추씨매콤한맛을원하실경우,채소류,냉장,0
115,고추잘게,수산물,냉장,0
116,고추장,장류,실온,0
117,고추장크게,장류,실온,0
118,고춧가루,가루류,실온,0
119,고춧가루기호,가루류,실온,0
120,고춧기름,기름류,실온,0
121,곤드레나물,채소류,실온,0
122,곤약,묵류,실온,0
123,곤약면,묵류,실온,0
124,골뱅이,수산물,냉장,0
125,골뱅이통조림,조리식품,실온,0
126,곰피,조미료,실온,0
127,곱창,축산물,실온,0
128,곶감,과일류,냉장,0
129,과일,조미료,실온,0
130,과일통조림,조리식품,실온,0
131,관자,수산물,냉장,0
132,광어,수산물,냉장,0
133,구기자,조미료,실온,0
135,구운김,수산물,냉장,0
136,국간장,소스류,실온,0
137,국거리용소갈비,포장육,냉장,0
138,국멸치,수산물,냉장,0
139,국물용,조리식품,실온,0
140,국물용 다시마,조리식품,냉장,0
141,국물용멸치,조리식품,냉장,0
142,국수,면류,실온,0
143,국수또는,면류,실온,0
144,군고구마,채소류,냉장,0
145,군고구마또는,채소류,냉장,0
146,군옥수수,채소류,실온,0
147,굴,수산물,냉장,0
148,굴소스,소스류,실온,0
149,굴싱싱한,수산물,냉장,0
151,굵은고춧가루,가루류,실온,0
152,굵은소금,조미료,실온,0
153,굵은소금조금,조미료,실온,0
154,굵은파,채소류,실온,0
155,귀리,조미료,실온,0
156,귤,과일류,냉장,0
157,귤병,과일류,냉장,0
158,그라나 빠다노,유가공품,실온,0
159,그라나파다노치즈,유가공품,냉장,0
160,그래놀라,과자,실온,0
161,그릭요거트,발효유,냉장,0
162,그린빈,조미료,실온,0
163,그린빈스,조미료,실온,0
164,그린올리브,조미료,실온,0
165,근대,채소류,냉장,0
166,근대잎,채소류,냉장,0
167,금태,조미료,실온,0
168,기름,기름류,실온,0
169,김,수산물,냉장,0
170,김가루,가루류,실온,0
171,김밥용김,즉석섭취,냉장,0
172,김장김치,절임류,냉장,0
173,김치,절임류,냉장,0
174,김치다진것,절임류,냉장,0
175,김치양념푹삭익은,절임류,냉장,0
176,김치잎,절임류,냉장,0
177,김칫국물,조리식품,냉장,0
178,김칫잎,수산물,냉장,0
179,까나리액젓,수산가공품,냉장,0
180,까망베르치즈,유가공품,냉장,0
182,깐마늘,채소류,냉장,0
183,깐밤,조미료,실온,0
184,깐양파,채소류,냉장,0
185,깐호두,조미료,실온,0
186,깨,조미료,실온,0
187,깨소금,조미료,실온,0
188,깨소금생략가능,조미료,실온,0
189,깨소스,소스류,실온,0
190,깻잎,채소류,냉장,0
191,깻잎순,채소류,냉장,0
192,껍질콩,조미료,실온,0
193,꼬마전복,수산물,냉장,0
194,꼬막,수산물,냉장,0
195,꼬치,조미료,실온,0
