ingredient_id,ingredient_name,category,storage_type,expiry_date
1,LA갈비,육류,냉장,0
2,가는파,기타,실온,0
3,가다랑어포,기타,실온,0
4,가다랑이포,기타,실온,0
5,가래떡,기타,실온,0
6,가리비,해산물,냉장,0
7,가쓰오부시,기타,실온,0
8,가쓰오브시,기타,실온,0
9,가쓰오브시국물,기타,실온,0
10,가쓰오쯔유,기타,실온,0
11,가와지,기타,실온,0
12,가자미,해산물,냉장,0
13,가재새우,해산물,냉장,0
14,가지,신선식품,냉장,0
15,가쯔오브시,기타,실온,0
16,각얼음,기타,실온,0
17,간,기타,실온,0
18,간마늘,신선식품,냉장,0
19,간생강,신선식품,냉장,0
20,간수,기타,실온,0
21,간장,기타,실온,0
22,간장조금,기타,실온,0
23,갈비,육류,냉장,0
24,갈은,기타,실온,0
25,갈은깨,기타,실온,0
26,갈치,해산물,냉장,0
27,갈치액젓,해산물,냉장,0
28,감,신선식품,냉장,0
29,감귤,신선식품,냉장,0
30,감동란,신선식품,냉장,0
31,감동젓,신선식품,냉장,0
32,감식초,신선식품,실온,0
33,감자,신선식품,냉장,0
34,감자전분,신선식품,실온,0
35,감자전분가루,신선식품,실온,0
36,감자튀김,해산물,냉동,0
37,감태가루,신선식품,실온,0
38,갑오징어,해산물,냉장,0
39,갓,기타,실온,0
40,강력,기타,실온,0
41,강력분,기타,실온,0
42,강황,기타,실온,0
43,강황가루,기타,실온,0
44,강황쌀,기타,실온,0
45,거피,기타,실온,0
46,거피들깨가루,기타,실온,0
47,건,기타,실온,0
48,건고추,신선식품,냉장,0
49,건다시마,해산물,냉장,0
50,건대추,기타,실온,0
51,건매생이,해산물,냉장,0
52,건멸치,해산물,냉장,0
53,건미역,해산물,냉장,0
54,건블루베리,신선식품,냉장,0
55,건새우,해산물,냉장,0
56,건새우가루,해산물,실온,0
57,건오미자,기타,실온,0
58,건오징어,해산물,냉장,0
59,건자두,기타,실온,0
60,건조,기타,실온,0
61,건취나물,기타,실온,0
62,건크랜베리,기타,실온,0
63,건포도,신선식품,냉장,0
64,건표고버섯,신선식품,냉장,0
65,건홍고추,신선식품,냉장,0
66,건홍합,해산물,냉장,0
67,검은,기타,실온,0
68,검은깨,기타,실온,0
69,검은껍질홍합,해산물,냉장,0
70,검은콩,기타,실온,0
71,검은콩두유,기타,실온,0
72,검은콩튀밥,기타,실온,0
73,검정깨,기타,실온,0
74,검정깨묵,기타,실온,0
75,검정콩,기타,실온,0
76,게,해산물,냉장,0
77,게맛살,해산물,냉장,0
78,게살,해산물,냉장,0
79,겨자,기타,실온,0
80,겨자가루,기타,실온,0
81,겨자잎,기타,실온,0
82,견과류,기타,실온,0
83,견과류선호하는,기타,실온,0
84,계란,신선식품,냉장,0
85,계란노른자,신선식품,냉장,0
86,계란생략가능,신선식품,냉장,0
87,계란후라이,신선식품,냉장,0
