recipe_id,recipe_name,cooking_time,difficulty,sub_ingredients,Seasonings,main_ingredients
0,나물비빔밥,60.0,2,"고추장, 양지머리","소금, 국간장, 다진파, 다진마늘, 참기름, 설탕","쌀, 안심, 콩나물, 청포묵, 미나리, 숙주, 도라지, 고사리, 계란"
1,오곡밥,60.0,2,"수수, 차조, 콩, 팥",소금,"멥쌀, 찹쌀"
2,잡채밥,30.0,2,"호박, 당근, 청고추, 홍고추, 밥","다진파, 다진마늘, 진간장, 참기름, 소금, 통후추","당면, 돼지고기, 표고버섯, 부추"
3,콩나물밥,40.0,1,,"파, 마늘, 참기름, 깨소금, 고춧가루, 진간장, 소금, 통후추","쌀, 콩나물, 쇠고기"
4,약식,60.0,2,"깐밤, 대추, 잣","흑설탕, 계핏가루, 물엿, 식물성기름, 흰설탕, 간장, 물",찹쌀
5,호박죽,30.0,2,팥,"물, 설탕, 소금","청동호박, 찹쌀"
6,흑임자죽,25.0,2,,"물, 소금, 설탕","쌀, 흑임자"
7,카레라이스,30.0,1,"쇠고기, 감자, 양파, 당근, 완두콩","우유, 소금, 통후추","카레, 밥"
8,오므라이스,30.0,1,"양파, 당근, 청피망, 홍피망, 오이, 전분","물, 쌈장, 후춧가루, 소금, 멸치, 다시마","계란, 밥"
9,감자수제비,60.0,1,"애호박, 실파, 홍고추","멸치, 물, 양념장, 국간장, 참기름, 소금","밀가루, 감자"
10,냉면,50.0,2,"쇠고기, 오이, 배, 계란, 동치미무","식초, 설탕, 소금","냉면, 동치미국물, 쇠고기육수"
11,동치미막국수,30.0,2,"계란, 홍고추, 동치미국물","소금, 깨소금, 참기름, 간장, 설탕, 통후추","국수, 쇠고기, 동치미무"
12,열무김치냉면,25.0,2,"홍고추, 청고추, 대파","찹쌀가루, 다진마늘, 다진생강, 고춧가루, 식초, 설탕, 겨자, 물","열무, 냉면"
13,채소국수,30.0,1,"계란, 쇠고기, 상추, 깻잎",양념장,"국수, 표고버섯, 오이, 부추"
14,해물국수,40.0,2,"돼지고기, 표고버섯, 죽순, 파","녹말, 계란흰자, 다진마늘, 멸칫국물, 청주, 소금","국수, 오징어, 새우, 홍합"
15,만둣국,40.0,2,"표고버섯, 두부, 육수","다진파, 다진마늘, 소금, 후춧가루, 깨소금, 간장, 설탕, 참기름","김치, 숙주, 만두피, 쇠고기"
16,다시마냉국,20.0,1,"오이, 홍고추, 물","다진파, 다진마늘, 소금, 고춧가루, 깨소금",다시마
17,두부국,40.0,1,파,"다진마늘, 고추장, 참기름, 진간장, 소금, 후춧가루","두부, 쇠고기"
18,두부조개탕,30.0,1,"콩나물, 홍고추, 실파, 밀가루, 계란","마늘, 소금, 후춧가루","두부, 모시조개, 북어"
19,무맑은국,30.0,1,"실파, 물","마늘, 국간장, 소금, 참기름, 후춧가루","쇠고기, 무"
20,미역국,30.0,1,"식용유, 물","마늘, 후춧가루, 국간장, 참기름","미역, 다진쇠고기"
21,미역냉국,30.0,1,"오이, 물","대파, 다진마늘, 깨소금, 소금, 고춧가루, 간장",불린미역
22,생태국,30.0,2,"미나리, 콩나물, 무, 홍고추, 쌀뜨물","마늘, 소금, 후춧가루",생태
23,연어까르파치오,30.0,1,"양파, 양송이버섯, 방울토마토, 모듬채소, 차이브","후춧가루, 레몬즙, 소금, 올리브오일, 페스토소스",연어
24,오이냉국,20.0,1,"대파, 홍고추, 물","파, 다진마늘, 간장, 식초, 설탕, 깨소금, 고춧가루, 소금","오이, 물"
25,해산물샐러드,30.0,2,"양파, 샐러리, 당근, 루콜라, 트레비소",소스,"삶은 문어살, 갑오징어, 꼴뚜기, 중새우살, 쭈꾸미, 참소라살, 모시조개, 가리비, 검은껍질홍합, 가재새우"
26,재첩국,30.0,1,"부추, 물",소금,재첩
27,구운감자와도미구이,60.0,2,"블랙올리브, 케이퍼, 스위트마조람, 계란노른자, 오레가노, 그린올리브","바질, 올리브오일, 화이트와인","도미, 감자, 방울토마토"
28,쇠고기산적,40.0,2,,"햇살담은간장, 마늘, 후춧가루, 꼬치, 참기름, 깨소금, 설탕, 꿀, 다진파, 다진마늘, 배즙, 생강즙","쇠고기, 실파, 느타리버섯"
29,쇠고기양송이볶음,40.0,2,"피망, 양파","마늘, 간장, 설탕, 소금, 후춧가루, 식용유","쇠고기, 양송이버섯, 물엿, 토마토케첩"
30,팥국수,30.0,2,"물, 날콩가루",소금,"팥, 밀가루"
31,죽순표고버섯볶음나물,20.0,2,"대파, 물","식용유, 간장, 다진파, 다진마늘, 참기름, 설탕, 소금, 후춧가루","죽순, 표고버섯"
32,부추표고버섯볶음,30.0,2,"돼지고기, 대파","생강, 간장, 청주, 소금, 식용유","부추, 표고버섯"
33,두부드레싱과 채소샐러드,30.0,1,"당근, 파프리카","깨소금, 꿀, 소금, 레몬즙, 연겨자","상추잎, 두부, 적양배추잎"
34,콩나물무침,20.0,1,,"다진파, 다진마늘, 깨소금, 참기름, 실고추, 소금, 후춧가루",콩나물
35,우엉조림,30.0,1,,"간장, 물엿, 깨소금, 소금, 물",우엉
36,바질토마토두부샐러드,20.0,1,다진양파,"식초, 참빛고운포도씨유, 간장, 소금","두부, 토마토, 바질"
37,멸치볶음,20.0,1,"당근, 청고추, 식용유","깨소금, 간장, 설탕, 청주",잔멸치
38,갈치무조림,40.0,1,"감자, 홍고추, 대파","물, 간장, 고추장, 고춧가루, 마늘, 생강, 설탕, 깨소금, 참기름","갈치, 무"
39,닭불고기,35.0,2,"고추장, 대파, 마늘","간장, 고춧가루, 생강즙, 깨소금, 후춧가루",닭
40,두부다시마말이,30.0,2,"두부, 표고버섯, 당근, 고추","들깨가루, 깨소금, 소금, 참기름, 후춧가루, 초고추장, 양념간장",다시마
41,팥칼국수,50.0,2,물,"소금, 설탕","칼국수면, 팥"
42,콩나물잡채,30.0,2,"양파, 당근, 미나리, 계란, 식용유","소금, 깨소금, 참기름, 진간장, 설탕, 다진파, 다진마늘, 후춧가루","콩나물, 쇠고기, 표고버섯"
43,양배추말이찜,50.0,2,"육수, 녹말, 물, 무명실, 파슬리가루","소금, 간장, 깨소금, 청주, 다진파, 다진마늘, 참기름, 후춧가루","양배추잎, 쇠고기, 밤, 양파"
44,마늘장아찌,20.0,1,물,"소금, 식초","마늘, 간장"
45,오징어불고기,40.0,2,,"고추장, 다진파, 다진마늘, 물엿, 생강즙, 참기름, 간장, 설탕, 고춧가루, 깨소금",오징어
46,생선탕수,40.0,2,"식용유, 육수, 양파, 당근, 피망, 파인애플, 계란, 녹말","식초, 설탕, 청주, 토마토케첩, 마늘, 간장, 소금, 후춧가루","대구살, 생강즙, 목이버섯"
47,갈비구이,60.0,2,"상추, 깻잎","배즙, 양파즙, 물엿, 설탕, 통깨, 참기름, 후춧가루, 청주, 간장, 육수, 대파, 마늘, 양파, 생강즙, 월계수잎",갈비
